,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
387,The Dark Knight Rises,"Action,Thriller",8.4,1387769,Action,Thriller,,Christopher Nolan,"writer,producer,director",11,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,809439099,394.3414905454545,2012-07-20
388,Redemption,"Adventure,Drama,Romance",4.5,98,Adventure,Drama,Romance,Joseph P. Stachura,"producer,director,writer",97,Redemption,23000000.0,36686.0,13593473.0,-9406527,59.10205652173913,2012-05-02
391,Redemption,"Drama,Mystery,Thriller",8.4,5,Drama,Mystery,Thriller,Tim Martin Crouse,"actor,director,writer",97,Redemption,23000000.0,36686.0,13593473.0,-9406527,59.10205652173913,2012-05-02
394,If I Stay,"Drama,Fantasy,Music",6.8,107625,Drama,Fantasy,Music,R.J. Cutler,"producer,director,writer",73,If I Stay,11000000.0,50474843.0,78356170.0,67356170,712.3288181818182,2014-08-22
395,The Infiltrator,"Biography,Crime,Drama",7.0,61547,Biography,Crime,Drama,Brad Furman,"director,producer,writer",32,The Infiltrator,47500000.0,15436808.0,20718104.0,-26781896,43.61706105263158,2016-07-13
396,Passengers,"Drama,Romance,Sci-Fi",7.0,311083,Drama,Romance,Sci-Fi,Morten Tyldum,"director,producer,editor",28,Passengers,110000000.0,100014699.0,302239672.0,192239672,274.7633381818182,2016-12-21
398,Black Mass,"Biography,Crime,Drama",6.9,155847,Biography,Crime,Drama,Scott Cooper,"actor,director,writer",59,Black Mass,53000000.0,62575678.0,98837872.0,45837872,186.48655094339622,2015-09-18
400,Rust,Drama,5.6,404,Drama,,,Corbin Bernsen,"actor,producer,director",93,Rust,250000.0,0.0,0.0,-250000,0.0,2010-10-07
402,Rust,"Horror,Thriller",6.1,22,Horror,Thriller,,Joe Lujan,"director,writer,producer",93,Rust,250000.0,0.0,0.0,-250000,0.0,2010-10-07
404,The Extra Man,Comedy,5.9,4580,Comedy,,,Shari Springer Berman,"director,writer,producer",53,The Extra Man,7000000.0,453377.0,492108.0,-6507892,7.030114285714285,2010-08-01
405,Tomb Raider,"Action,Adventure,Fantasy",6.3,163560,Action,Adventure,Fantasy,Roar Uthaug,"director,writer,assistant_director",70,Tomb Raider,90000000.0,58250803.0,273477501.0,183477501,303.86389,2018-03-16
406,Lowriders,"Adventure,Crime,Drama",5.7,1954,Adventure,Crime,Drama,Ricardo De Montreuil,"director,writer,producer",35,Lowriders,916000.0,6179955.0,6188421.0,5272421,675.5918122270742,2017-05-12
409,The Sitter,Comedy,5.7,65575,Comedy,,,David Gordon Green,"producer,director,writer",32,The Sitter,25000000.0,30542576.0,38749404.0,13749404,154.997616,2011-12-09
410,Cloud Atlas,"Action,Drama,Mystery",7.4,326473,Action,Drama,Mystery,Tom Tykwer,"composer,writer,director",63,Cloud Atlas,102000000.0,27108272.0,130673154.0,28673154,128.11093529411767,2012-10-26
